Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2016,2016 HWC,Activities Outside School,Alaska,32,81,0.05,84.4,77.6,AHR data,
2016,2016 HWC,Activities Outside School,Alabama,43,77.1,-0.94,80.6,73.5,AHR data,
2016,2016 HWC,Activities Outside School,United States,,80.8,,81.5,80.1,AHR data,
2016,2016 HWC,Activities Outside School,Arkansas,47,76.3,-1.15,80.1,72.6,AHR data,
2016,2016 HWC,Activities Outside School,Arizona,35,80.1,-0.18,83.4,76.8,AHR data,
2016,2016 HWC,Activities Outside School,California,33,80.7,-0.03,84,77.3,AHR data,
2016,2016 HWC,Activities Outside School,Colorado,18,83.1,0.59,86.5,79.6,AHR data,
2016,2016 HWC,Activities Outside School,Connecticut,2,89.5,2,91.8,87.2,AHR data,
2016,2016 HWC,Activities Outside School,District of Columbia,,82.9,,87.1,78.8,AHR data,
2016,2016 HWC,Activities Outside School,Delaware,18,83.1,0.59,86.3,79.9,AHR data,
2016,2016 HWC,Activities Outside School,Florida,45,76.6,-1.07,80.3,73,AHR data,
2016,2016 HWC,Activities Outside School,Georgia,41,77.6,-0.81,81.1,74,AHR data,
2016,2016 HWC,Activities Outside School,Hawaii,12,85,1.07,87.7,82.2,AHR data,
2016,2016 HWC,Activities Outside School,Iowa,9,86,1.32,88.8,83.2,AHR data,
2016,2016 HWC,Activities Outside School,Idaho,24,82.7,0.48,86.1,79.3,AHR data,
2016,2016 HWC,Activities Outside School,Illinois,29,82,0.31,85.1,78.9,AHR data,
2016,2016 HWC,Activities Outside School,Indiana,30,81.6,0.2,84.9,78.3,AHR data,
2016,2016 HWC,Activities Outside School,Kansas,31,81.2,0.1,84.5,77.9,AHR data,
2016,2016 HWC,Activities Outside School,Kentucky,46,76.4,-1.12,79.9,72.9,AHR data,
2016,2016 HWC,Activities Outside School,Louisiana,37,79.3,-0.38,82.7,76,AHR data,
2016,2016 HWC,Activities Outside School,Massachusetts,5,87.2,1.63,89.9,84.6,AHR data,
2016,2016 HWC,Activities Outside School,Maryland,17,83.7,0.74,87,80.5,AHR data,
2016,2016 HWC,Activities Outside School,Maine,4,87.4,1.68,89.8,84.9,AHR data,
2016,2016 HWC,Activities Outside School,Michigan,24,82.7,0.48,85.9,79.6,AHR data,
2016,2016 HWC,Activities Outside School,Minnesota,6,86.8,1.53,89.6,83.9,AHR data,
2016,2016 HWC,Activities Outside School,Missouri,27,82.3,0.38,85.3,79.3,AHR data,
2016,2016 HWC,Activities Outside School,Mississippi,48,75.2,-1.43,79,71.4,AHR data,
2016,2016 HWC,Activities Outside School,Montana,13,84.4,0.92,87.4,81.4,AHR data,
2016,2016 HWC,Activities Outside School,North Carolina,49,75,-1.48,78.9,71,AHR data,
2016,2016 HWC,Activities Outside School,North Dakota,11,85.3,1.15,88.4,82.1,AHR data,
2016,2016 HWC,Activities Outside School,Nebraska,14,84.2,0.87,87.2,81.3,AHR data,
2016,2016 HWC,Activities Outside School,New Hampshire,3,87.8,1.78,90.5,85.1,AHR data,
2016,2016 HWC,Activities Outside School,New Jersey,18,83.1,0.59,86.3,79.9,AHR data,
2016,2016 HWC,Activities Outside School,New Mexico,38,78.7,-0.53,82.5,75,AHR data,
2016,2016 HWC,Activities Outside School,Nevada,42,77.5,-0.84,81.1,73.9,AHR data,
2016,2016 HWC,Activities Outside School,New York,18,83.1,0.59,86.1,80.1,AHR data,
2016,2016 HWC,Activities Outside School,Ohio,18,83.1,0.59,86.3,79.8,AHR data,
2016,2016 HWC,Activities Outside School,Oklahoma,36,79.9,-0.23,83,76.8,AHR data,
2016,2016 HWC,Activities Outside School,Oregon,26,82.6,0.46,85.8,79.5,AHR data,
2016,2016 HWC,Activities Outside School,Pennsylvania,14,84.2,0.87,87.5,81,AHR data,
2016,2016 HWC,Activities Outside School,Rhode Island,23,82.9,0.53,86,79.8,AHR data,
2016,2016 HWC,Activities Outside School,South Carolina,40,78.4,-0.61,81.8,74.9,AHR data,
2016,2016 HWC,Activities Outside School,South Dakota,8,86.4,1.43,89.1,83.7,AHR data,
2016,2016 HWC,Activities Outside School,Tennessee,50,73.9,-1.76,77.6,70.1,AHR data,
2016,2016 HWC,Activities Outside School,Texas,44,76.7,-1.04,80.5,72.9,AHR data,
2016,2016 HWC,Activities Outside School,Utah,16,83.8,0.76,86.8,80.7,AHR data,
2016,2016 HWC,Activities Outside School,Virginia,28,82.1,0.33,85.6,78.6,AHR data,
2016,2016 HWC,Activities Outside School,Vermont,1,90,2,92.1,87.8,AHR data,
2016,2016 HWC,Activities Outside School,Washington,34,80.5,-0.08,84,77,AHR data,
2016,2016 HWC,Activities Outside School,Wisconsin,10,85.6,1.22,88.4,82.8,AHR data,
2016,2016 HWC,Activities Outside School,West Virginia,39,78.5,-0.59,81.5,75.5,AHR data,
2016,2016 HWC,Activities Outside School,Wyoming,7,86.7,1.5,89.2,84.1,AHR data,
2016,2016 HWC,Adequate Health Insurance,Alaska,25,77.6,0.49,80.5,74.7,"Child and Adolescent Health Measurement Initiative, National Survey of Children’s Health, Data Resource Center for Child and Adolescent Health",2011-2012
2016,2016 HWC,Adequate Health Insurance,Alabama,13,78.7,0.97,81.4,76,"Child and Adolescent Health Measurement Initiative, National Survey of Children’s Health, Data Resource Center for Child and Adolescent Health",2011-2012
2016,2016 HWC,Adequate Health Insurance,United States,,76.5,,77.1,75.9,"Child and Adolescent Health Measurement Initiative, National Survey of Children’s Health, Data Resource Center for Child and Adolescent Health",2011-2012
2016,2016 HWC,Adequate Health Insurance,Arkansas,8,79.6,1.37,82.4,76.7,"Child and Adolescent Health Measurement Initiative, National Survey of Children’s Health, Data Resource Center for Child and Adolescent Health",2011-2012
2016,2016 HWC,Adequate Health Insurance,Arizona,35,75.9,-0.26,78.9,72.9,"Child and Adolescent Health Measurement Initiative, National Survey of Children’s Health, Data Resource Center for Child and Adolescent Health",2011-2012
2016,2016 HWC,Adequate Health Insurance,California,44,74.4,-0.93,77.5,71.3,"Child and Adolescent Health Measurement Initiative, National Survey of Children’s Health, Data Resource Center for Child and Adolescent Health",2011-2012
2016,2016 HWC,Adequate Health Insurance,Colorado,38,75.4,-0.49,78.5,72.4,"Child and Adolescent Health Measurement Initiative, National Survey of Children’s Health, Data Resource Center for Child and Adolescent Health",2011-2012
2016,2016 HWC,Adequate Health Insurance,Connecticut,31,76.8,0.13,79.3,74.4,"Child and Adolescent Health Measurement Initiative, National Survey of Children’s Health, Data Resource Center for Child and Adolescent Health",2011-2012
2016,2016 HWC,Adequate Health Insurance,District of Columbia,,80.3,,83.6,77,"Child and Adolescent Health Measurement Initiative, National Survey of Children’s Health, Data Resource Center for Child and Adolescent Health",2011-2012
2016,2016 HWC,Adequate Health Insurance,Delaware,20,78,0.66,80.8,75.2,"Child and Adolescent Health Measurement Initiative, National Survey of Children’s Health, Data Resource Center for Child and Adolescent Health",2011-2012
2016,2016 HWC,Adequate Health Insurance,Florida,50,72.5,-1.77,75.6,69.3,"Child and Adolescent Health Measurement Initiative, National Survey of Children’s Health, Data Resource Center for Child and Adolescent Health",2011-2012
2016,2016 HWC,Adequate Health Insurance,Georgia,33,76.3,-0.09,79.1,73.4,"Child and Adolescent Health Measurement Initiative, National Survey of Children’s Health, Data Resource Center for Child and Adolescent Health",2011-2012
2016,2016 HWC,Adequate Health Insurance,Hawaii,2,81.2,2,83.6,78.8,"Child and Adolescent Health Measurement Initiative, National Survey of Children’s Health, Data Resource Center for Child and Adolescent Health",2011-2012
2016,2016 HWC,Adequate Health Insurance,Iowa,5,80.2,1.63,82.7,77.8,"Child and Adolescent Health Measurement Initiative, National Survey of Children’s Health, Data Resource Center for Child and Adolescent Health",2011-2012
2016,2016 HWC,Adequate Health Insurance,Idaho,22,77.7,0.53,80.7,74.7,"Child and Adolescent Health Measurement Initiative, National Survey of Children’s Health, Data Resource Center for Child and Adolescent Health",2011-2012
2016,2016 HWC,Adequate Health Insurance,Illinois,32,76.4,-0.04,79,73.7,"Child and Adolescent Health Measurement Initiative, National Survey of Children’s Health, Data Resource Center for Child and Adolescent Health",2011-2012
2016,2016 HWC,Adequate Health Insurance,Indiana,29,77.4,0.4,80.2,74.5,"Child and Adolescent Health Measurement Initiative, National Survey of Children’s Health, Data Resource Center for Child and Adolescent Health",2011-2012
2016,2016 HWC,Adequate Health Insurance,Kansas,36,75.8,-0.31,78.6,73,"Child and Adolescent Health Measurement Initiative, National Survey of Children’s Health, Data Resource Center for Child and Adolescent Health",2011-2012
2016,2016 HWC,Adequate Health Insurance,Kentucky,22,77.7,0.53,80.3,75,"Child and Adolescent Health Measurement Initiative, National Survey of Children’s Health, Data Resource Center for Child and Adolescent Health",2011-2012
2016,2016 HWC,Adequate Health Insurance,Louisiana,25,77.6,0.49,80.4,74.7,"Child and Adolescent Health Measurement Initiative, National Survey of Children’s Health, Data Resource Center for Child and Adolescent Health",2011-2012
2016,2016 HWC,Adequate Health Insurance,Massachusetts,13,78.7,0.97,81.1,76.3,"Child and Adolescent Health Measurement Initiative, National Survey of Children’s Health, Data Resource Center for Child and Adolescent Health",2011-2012
2016,2016 HWC,Adequate Health Insurance,Maryland,22,77.7,0.53,80.5,74.8,"Child and Adolescent Health Measurement Initiative, National Survey of Children’s Health, Data Resource Center for Child and Adolescent Health",2011-2012
2016,2016 HWC,Adequate Health Insurance,Maine,16,78.2,0.75,80.8,75.7,"Child and Adolescent Health Measurement Initiative, National Survey of Children’s Health, Data Resource Center for Child and Adolescent Health",2011-2012
2016,2016 HWC,Adequate Health Insurance,Michigan,13,78.7,0.97,81.4,76,"Child and Adolescent Health Measurement Initiative, National Survey of Children’s Health, Data Resource Center for Child and Adolescent Health",2011-2012
