measure_name,state_name,im_rank,im_value,im_score,im_lower_ci,im_upper_ci
Infant Mortality,Alabama,49.0,8.7,2.0,,
Infant Mortality,Alaska,26.0,6.1,0.16,,
Infant Mortality,Arizona,16.0,5.4,-0.4,,
Infant Mortality,Arkansas,47.0,7.9,1.62,,
Infant Mortality,California,4.0,4.3,-1.29,,
Infant Mortality,Colorado,8.0,4.7,-0.97,,
Infant Mortality,Connecticut,12.0,5.2,-0.57,,
Infant Mortality,Delaware,48.0,8.5,2.0,,
Infant Mortality,Florida,29.0,6.2,0.24,,
Infant Mortality,Georgia,45.0,7.6,1.38,,
Infant Mortality,Hawaii,21.0,5.8,-0.08,,
Infant Mortality,Idaho,15.0,5.3,-0.49,,
Infant Mortality,Illinois,29.0,6.2,0.24,,
Infant Mortality,Indiana,43.0,7.4,1.21,,
Infant Mortality,Iowa,11.0,5.1,-0.65,,
Infant Mortality,Kansas,25.0,6.0,0.08,,
Infant Mortality,Kentucky,36.0,6.7,0.65,,
Infant Mortality,Louisiana,46.0,7.8,1.54,,
Infant Mortality,Maine,29.0,6.2,0.24,,
Infant Mortality,Maryland,35.0,6.6,0.57,,
Infant Mortality,Massachusetts,3.0,4.1,-1.46,,
Infant Mortality,Michigan,33.0,6.5,0.49,,
Infant Mortality,Minnesota,12.0,5.2,-0.57,,
Infant Mortality,Mississippi,50.0,9.1,2.0,,
Infant Mortality,Missouri,33.0,6.5,0.49,,
Infant Mortality,Montana,21.0,5.8,-0.08,,
Infant Mortality,Nebraska,23.0,5.9,0.0,,
Infant Mortality,Nevada,17.0,5.5,-0.32,,
Infant Mortality,New Hampshire,1.0,3.9,-1.62,,
Infant Mortality,New Jersey,5.0,4.4,-1.21,,
Infant Mortality,New Mexico,18.0,5.6,-0.24,,
Infant Mortality,New York,6.0,4.6,-1.05,,
Infant Mortality,North Carolina,41.0,7.3,1.13,,
Infant Mortality,North Dakota,37.0,6.8,0.73,,
Infant Mortality,Ohio,41.0,7.3,1.13,,
Infant Mortality,Oklahoma,43.0,7.4,1.21,,
Infant Mortality,Oregon,9.0,4.9,-0.81,,
Infant Mortality,Pennsylvania,29.0,6.2,0.24,,
Infant Mortality,Rhode Island,19.0,5.7,-0.16,,
Infant Mortality,South Carolina,38.0,7.0,0.89,,
Infant Mortality,South Dakota,26.0,6.1,0.16,,
Infant Mortality,Tennessee,39.0,7.1,0.97,,
Infant Mortality,Texas,19.0,5.7,-0.16,,
Infant Mortality,Utah,12.0,5.2,-0.57,,
Infant Mortality,Vermont,2.0,4.0,-1.54,,
Infant Mortality,Virginia,23.0,5.9,0.0,,
Infant Mortality,Washington,6.0,4.6,-1.05,,
Infant Mortality,West Virginia,40.0,7.2,1.05,,
Infant Mortality,Wisconsin,26.0,6.1,0.16,,
Infant Mortality,Wyoming,10.0,5.0,-0.73,,
Infant Mortality,United States,,5.9,,,
Infant Mortality,District of Columbia,,8.0,,,
Infant Mortality -  Mother Age 25-29,Alabama,,7.6,,,
