measure_name,state_name,pctt_rank,pctt_value,pctt_score,pctt_lower_ci,pctt_upper_ci
Prenatal Care Before Third Trimester,Alabama,42.0,92.5,-0.61,,
Prenatal Care Before Third Trimester,Alaska,23.0,94.2,0.25,,
Prenatal Care Before Third Trimester,Arizona,47.0,91.0,-1.37,,
Prenatal Care Before Third Trimester,Arkansas,48.0,90.0,-1.87,,
Prenatal Care Before Third Trimester,California,7.0,96.2,1.27,,
Prenatal Care Before Third Trimester,Colorado,25.0,94.0,0.15,,
Prenatal Care Before Third Trimester,Connecticut,3.0,96.7,1.52,,
Prenatal Care Before Third Trimester,Delaware,37.0,93.3,-0.2,,
Prenatal Care Before Third Trimester,Florida,43.0,92.4,-0.66,,
Prenatal Care Before Third Trimester,Georgia,45.0,91.5,-1.11,,
Prenatal Care Before Third Trimester,Hawaii,41.0,92.9,-0.4,,
Prenatal Care Before Third Trimester,Idaho,11.0,95.8,1.06,,
Prenatal Care Before Third Trimester,Illinois,25.0,94.0,0.15,,
Prenatal Care Before Third Trimester,Indiana,32.0,93.7,0.0,,
Prenatal Care Before Third Trimester,Iowa,12.0,95.6,0.96,,
Prenatal Care Before Third Trimester,Kansas,7.0,96.2,1.27,,
Prenatal Care Before Third Trimester,Kentucky,20.0,94.5,0.4,,
Prenatal Care Before Third Trimester,Louisiana,28.0,93.9,0.1,,
Prenatal Care Before Third Trimester,Maine,4.0,96.4,1.37,,
Prenatal Care Before Third Trimester,Maryland,39.0,93.1,-0.3,,
Prenatal Care Before Third Trimester,Massachusetts,17.0,95.0,0.66,,
Prenatal Care Before Third Trimester,Michigan,16.0,95.1,0.71,,
Prenatal Care Before Third Trimester,Minnesota,7.0,96.2,1.27,,
Prenatal Care Before Third Trimester,Mississippi,14.0,95.2,0.76,,
Prenatal Care Before Third Trimester,Missouri,21.0,94.4,0.35,,
Prenatal Care Before Third Trimester,Montana,25.0,94.0,0.15,,
Prenatal Care Before Third Trimester,Nebraska,19.0,94.6,0.46,,
Prenatal Care Before Third Trimester,Nevada,46.0,91.1,-1.32,,
Prenatal Care Before Third Trimester,New Hampshire,5.0,96.3,1.32,,
Prenatal Care Before Third Trimester,New Jersey,23.0,94.2,0.25,,
Prenatal Care Before Third Trimester,New Mexico,50.0,88.5,-2.0,,
Prenatal Care Before Third Trimester,New York,17.0,95.0,0.66,,
Prenatal Care Before Third Trimester,North Carolina,34.0,93.5,-0.1,,
Prenatal Care Before Third Trimester,North Dakota,21.0,94.4,0.35,,
Prenatal Care Before Third Trimester,Ohio,32.0,93.7,0.0,,
Prenatal Care Before Third Trimester,Oklahoma,40.0,93.0,-0.35,,
Prenatal Care Before Third Trimester,Oregon,13.0,95.5,0.91,,
Prenatal Care Before Third Trimester,Pennsylvania,35.0,93.4,-0.15,,
Prenatal Care Before Third Trimester,Rhode Island,2.0,98.0,2.0,,
Prenatal Care Before Third Trimester,South Carolina,35.0,93.4,-0.15,,
Prenatal Care Before Third Trimester,South Dakota,28.0,93.9,0.1,,
Prenatal Care Before Third Trimester,Tennessee,44.0,92.3,-0.71,,
Prenatal Care Before Third Trimester,Texas,49.0,89.8,-1.97,,
Prenatal Care Before Third Trimester,Utah,5.0,96.3,1.32,,
Prenatal Care Before Third Trimester,Vermont,1.0,98.3,2.0,,
Prenatal Care Before Third Trimester,Virginia,14.0,95.2,0.76,,
Prenatal Care Before Third Trimester,Washington,28.0,93.9,0.1,,
Prenatal Care Before Third Trimester,West Virginia,37.0,93.3,-0.2,,
Prenatal Care Before Third Trimester,Wisconsin,10.0,95.9,1.11,,
Prenatal Care Before Third Trimester,Wyoming,31.0,93.8,0.05,,
Prenatal Care Before Third Trimester,United States,,93.7,,,
Prenatal Care Before Third Trimester,District of Columbia,,90.9,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Alabama,,93.0,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Alaska,,93.4,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Arizona,,87.4,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Arkansas,,91.3,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,California,,91.4,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Colorado,,89.4,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Connecticut,,,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Delaware,,,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Florida,,93.8,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Georgia,,87.5,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Hawaii,,,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Idaho,,84.2,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Illinois,,92.8,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Indiana,,,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Iowa,,89.4,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Kansas,,92.9,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Kentucky,,,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Louisiana,,91.2,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Maine,,,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Maryland,,,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Massachusetts,,,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Michigan,,94.3,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Minnesota,,81.2,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Mississippi,,91.4,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Missouri,,93.9,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Montana,,77.4,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Nebraska,,86.6,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Nevada,,82.7,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,New Hampshire,,,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,New Jersey,,,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,New Mexico,,81.9,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,New York,,91.7,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,North Carolina,,89.9,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,North Dakota,,74.3,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Ohio,,90.1,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Oklahoma,,90.8,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Oregon,,91.0,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Pennsylvania,,90.9,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Rhode Island,,,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,South Carolina,,93.6,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,South Dakota,,83.0,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Tennessee,,88.6,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Texas,,86.2,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Utah,,91.8,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Vermont,,,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Virginia,,,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Washington,,88.1,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,West Virginia,,,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Wisconsin,,91.2,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,Wyoming,,82.6,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,United States,,88.0,,,
Prenatal Care Before Third Trimester - American Indian / Alaska Native,District of Columbia,,,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Alabama,,92.0,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Alaska,,92.5,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Arizona,,93.1,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Arkansas,,71.6,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,California,,96.1,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Colorado,,94.2,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Connecticut,,96.9,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Delaware,,94.6,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Florida,,93.9,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Georgia,,91.5,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Hawaii,,91.0,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Idaho,,92.8,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Illinois,,94.3,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Indiana,,92.8,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Iowa,,95.2,,,
