State,State Code,Year,Deaths,Population,Crude Rate
Alabama,1,2005,12,2356423,Unreliable
Alabama,1,2006,10,2385480,Unreliable
Alabama,1,2015,12,2505795,Unreliable
Alabama,1,2016,35,2507714,1.4
Alabama,1,2017,41,2514911,1.6
Alabama,1,2018,31,2523756,1.2
Alabama,1,2019,35,2533668,1.4
Arizona,4,2008,11,3155278,Unreliable
Arizona,4,2010,17,3216194,Unreliable
Arizona,4,2011,15,3258634,Unreliable
Arizona,4,2012,25,3294772,0.8
Arizona,4,2013,23,3331505,0.7
Arizona,4,2014,24,3387637,0.7
Arizona,4,2015,20,3436575,0.6
Arizona,4,2016,25,3488176,0.7
Arizona,4,2017,24,3527969,0.7
Arizona,4,2018,24,3606307,0.7
Arizona,4,2019,32,3661420,0.9
Arkansas,5,2008,24,1464220,1.6
Arkansas,5,2009,20,1475013,1.4
Arkansas,5,2010,13,1484281,Unreliable
Arkansas,5,2011,10,1495200,Unreliable
Arkansas,5,2012,18,1500641,Unreliable
Arkansas,5,2013,15,1505782,Unreliable
Arkansas,5,2014,23,1509053,1.5
Arkansas,5,2015,16,1515348,Unreliable
Arkansas,5,2016,17,1520375,Unreliable
Arkansas,5,2017,14,1528215,Unreliable
Arkansas,5,2018,23,1533682,1.5
Arkansas,5,2019,14,1536188,Unreliable
California,6,2005,119,17996230,0.7
California,6,2006,122,18097471,0.7
California,6,2007,97,18214926,0.5
California,6,2008,102,18396972,0.6
California,6,2009,107,18583075,0.6
California,6,2010,82,18736126,0.4
California,6,2011,71,18943585,0.4
California,6,2012,81,19122866,0.4
California,6,2013,77,19268325,0.4
California,6,2014,88,19533596,0.5
California,6,2015,84,19701750,0.4
California,6,2016,91,19756656,0.5
California,6,2017,90,19889100,0.5
California,6,2018,81,19893468,0.4
California,6,2019,71,19867369,0.4
Colorado,8,2013,12,2621921,Unreliable
Colorado,8,2014,16,2664707,Unreliable
Colorado,8,2015,10,2712811,Unreliable
Colorado,8,2016,16,2754727,Unreliable
Colorado,8,2017,18,2784821,Unreliable
Colorado,8,2019,15,2857388,Unreliable
Connecticut,9,2011,14,1835893,Unreliable
Connecticut,9,2017,11,1836384,Unreliable
Florida,12,2005,59,9117950,0.6
Florida,12,2006,45,9280080,0.5
Florida,12,2007,52,9378587,0.6
Florida,12,2008,36,9465279,0.4
Florida,12,2009,71,9534289,0.7
Florida,12,2010,47,9611955,0.5
Florida,12,2011,50,9736166,0.5
Florida,12,2012,64,9869741,0.6
Florida,12,2013,83,9990213,0.8
Florida,12,2014,62,10170011,0.6
Florida,12,2015,68,10368733,0.7
Florida,12,2016,50,10542288,0.5
Florida,12,2017,48,10727581,0.4
Florida,12,2018,54,10887548,0.5
Florida,12,2019,69,10980681,0.6
Georgia,13,2005,32,4555263,0.7
Georgia,13,2006,27,4670606,0.6
Georgia,13,2007,22,4777572,0.5
Georgia,13,2008,23,4856984,0.5
Georgia,13,2009,36,4917756,0.7
Georgia,13,2010,38,4958482,0.8
Georgia,13,2011,48,5012403,1
Georgia,13,2012,40,5068921,0.8
Georgia,13,2013,82,5110806,1.6
Georgia,13,2014,104,5170356,2
Georgia,13,2015,98,5234978,1.9
Georgia,13,2016,73,5289906,1.4
Georgia,13,2017,74,5353872,1.4
Georgia,13,2018,62,5404059,1.1
Georgia,13,2019,64,5456999,1.2
Hawaii,15,2006,12,652351,Unreliable
Idaho,16,2010,10,782258,Unreliable
Illinois,17,2005,15,6423831,Unreliable
Illinois,17,2006,33,6440022,0.5
Illinois,17,2007,34,6467577,0.5
Illinois,17,2008,31,6493537,0.5
Illinois,17,2009,35,6520723,0.5
Illinois,17,2010,29,6538356,0.4
