Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI,Source,Source Year
2009,2009 Annual,Air Pollution,Alabama,45,13.5,0.72,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2006-2008
2009,2009 Annual,Air Pollution,Alaska,5,6.9,-1.92,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2006-2008
2009,2009 Annual,Air Pollution,Arizona,22,10.5,-0.48,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2006-2008
2009,2009 Annual,Air Pollution,Arkansas,32,11.8,0.04,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2006-2008
2009,2009 Annual,Air Pollution,California,47,13.9,0.88,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2006-2008
2009,2009 Annual,Air Pollution,Colorado,8,7.7,-1.6,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2006-2008
2009,2009 Annual,Air Pollution,Connecticut,30,11.5,-0.08,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2006-2008
2009,2009 Annual,Air Pollution,Delaware,47,13.9,0.88,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2006-2008
2009,2009 Annual,Air Pollution,Florida,15,9,-1.08,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2006-2008
2009,2009 Annual,Air Pollution,Georgia,47,13.9,0.88,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2006-2008
2009,2009 Annual,Air Pollution,Hawaii,1,4.8,-2,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2006-2008
2009,2009 Annual,Air Pollution,Idaho,6,7.5,-1.68,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2006-2008
2009,2009 Annual,Air Pollution,Illinois,42,13.2,0.6,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2006-2008
2009,2009 Annual,Air Pollution,Indiana,42,13.2,0.6,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2006-2008
2009,2009 Annual,Air Pollution,Iowa,22,10.5,-0.48,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2006-2008
2009,2009 Annual,Air Pollution,Kansas,20,9.9,-0.72,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2006-2008
2009,2009 Annual,Air Pollution,Kentucky,41,13.1,0.56,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2006-2008
2009,2009 Annual,Air Pollution,Louisiana,27,11.3,-0.16,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2006-2008
2009,2009 Annual,Air Pollution,Maine,18,9.4,-0.92,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2006-2008
2009,2009 Annual,Air Pollution,Maryland,36,12.6,0.36,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2006-2008
2009,2009 Annual,Air Pollution,Massachusetts,19,9.6,-0.84,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population",2006-2008
