Location,Employer,Non-Group,Medicaid,Medicare,Military,Uninsured,Total,Footnotes
United States,0.603,0.066,0.115,0.019,0.014,0.183,1.000,1
Alabama,0.586,0.061,0.114,0.035,0.022,0.182,1.000
Alaska,0.567,0.042,0.101,N/A,0.056,0.227,1.000
Arizona,0.538,0.069,0.155,0.020,0.017,0.201,1.000
Arkansas,0.541,0.058,0.118,0.036,0.015,0.231,1.000
California,0.554,0.086,0.122,0.013,0.009,0.216,1.000
Colorado,0.615,0.096,0.078,0.013,0.025,0.173,1.000
Connecticut,0.698,0.060,0.117,0.018,0.005,0.102,1.000
Delaware,0.644,0.041,0.157,0.023,0.013,0.122,1.000
District of Columbia,0.598,0.070,0.243,0.014,N/A,0.070,1.000
Florida,0.536,0.076,0.093,0.020,0.019,0.255,1.000
Georgia,0.582,0.061,0.086,0.021,0.021,0.230,1.000
Hawaii,0.666,0.077,0.113,0.014,0.052,0.079,1.000
Idaho,0.570,0.105,0.074,0.017,0.022,0.213,1.000
Illinois,0.629,0.062,0.125,0.015,0.006,0.164,1.000
Indiana,0.640,0.055,0.108,0.019,0.007,0.170,1.000
Iowa,0.684,0.086,0.103,0.014,0.006,0.107,1.000
Kansas,0.653,0.077,0.072,0.016,0.024,0.157,1.000
Kentucky,0.577,0.053,0.128,0.030,0.016,0.196,1.000
Louisiana,0.544,0.064,0.115,0.022,0.015,0.240,1.000
Maine,0.578,0.062,0.201,0.017,0.022,0.121,1.000
Maryland,0.695,0.060,0.084,0.016,0.018,0.127,1.000
Massachusetts,0.698,0.062,0.180,0.013,0.004,0.043,1.000
Michigan,0.616,0.059,0.146,0.021,0.005,0.153,1.000
Minnesota,0.684,0.080,0.118,0.014,0.005,0.098,1.000
Mississippi,0.530,0.053,0.149,0.030,0.018,0.220,1.000
Missouri,0.632,0.062,0.103,0.023,0.013,0.167,1.000
Montana,0.557,0.102,0.069,0.018,0.019,0.235,1.000
Nebraska,0.636,0.103,0.079,0.014,0.021,0.147,1.000
Nevada,0.596,0.056,0.061,0.016,0.017,0.254,1.000
New Hampshire,0.715,0.057,0.068,0.020,0.009,0.132,1.000
New Jersey,0.687,0.053,0.090,0.018,0.004,0.149,1.000
New Mexico,0.498,0.059,0.148,0.019,0.023,0.253,1.000
New York,0.626,0.054,0.169,0.017,0.004,0.129,1.000
North Carolina,0.575,0.068,0.108,0.025,0.031,0.193,1.000
North Dakota,0.677,0.101,0.067,0.017,0.022,0.116,1.000
Ohio,0.644,0.054,0.126,0.020,0.008,0.149,1.000
Oklahoma,0.562,0.056,0.094,0.027,0.026,0.235,1.000
Oregon,0.588,0.086,0.088,0.016,0.010,0.212,1.000
Pennsylvania,0.669,0.064,0.129,0.018,0.005,0.114,1.000
Rhode Island,0.652,0.057,0.135,0.015,0.011,0.131,1.000
South Carolina,0.565,0.059,0.115,0.025,0.024,0.212,1.000
South Dakota,0.601,0.101,0.088,0.016,0.019,0.175,1.000
Tennessee,0.570,0.063,0.144,0.026,0.018,0.179,1.000
Texas,0.544,0.053,0.078,0.017,0.018,0.290,1.000
Utah,0.660,0.083,0.068,0.011,0.013,0.165,1.000
Vermont,0.640,0.065,0.184,0.017,N/A,0.091,1.000
Virginia,0.660,0.064,0.066,0.022,0.046,0.141,1.000
Washington,0.614,0.079,0.111,0.015,0.022,0.159,1.000
West Virginia,0.580,0.037,0.140,0.034,0.011,0.199,1.000
Wisconsin,0.680,0.055,0.143,0.015,0.005,0.101,1.000
Wyoming,0.601,0.092,0.072,0.013,0.020,0.202,1.000
Puerto Rico,0.369,0.094,0.413,0.041,0.003,0.080,1.000

