Location,Employer,Non-Group,Medicaid,Medicare,Military,Uninsured,Total,Footnotes
United States,0.598,0.087,0.171,0.021,0.015,0.108,1.000,1
Alabama,0.580,0.086,0.136,0.042,0.023,0.133,1.000
Alaska,0.547,0.048,0.195,N/A,0.062,0.143,1.000
Arizona,0.559,0.078,0.208,0.018,0.018,0.120,1.000
Arkansas,0.539,0.087,0.220,0.037,0.018,0.099,1.000
California,0.556,0.098,0.236,0.014,0.009,0.086,1.000
Colorado,0.604,0.097,0.169,0.013,0.026,0.090,1.000
Connecticut,0.645,0.077,0.188,0.019,0.007,0.063,1.000
Delaware,0.665,0.072,0.156,0.026,0.017,0.064,1.000
District of Columbia,0.648,0.072,0.233,0.010,0.007,0.030,1.000
Florida,0.520,0.139,0.128,0.022,0.021,0.171,1.000
Georgia,0.590,0.089,0.103,0.022,0.025,0.172,1.000
Hawaii,0.678,0.059,0.150,0.014,0.054,0.045,1.000
Idaho,0.571,0.132,0.110,0.015,0.017,0.155,1.000
Illinois,0.638,0.078,0.176,0.018,0.005,0.085,1.000
Indiana,0.638,0.075,0.157,0.023,0.008,0.100,1.000
Iowa,0.679,0.083,0.164,0.014,0.007,0.053,1.000
Kansas,0.666,0.089,0.091,0.022,0.025,0.108,1.000
Kentucky,0.567,0.058,0.264,0.034,0.016,0.062,1.000
Louisiana,0.531,0.078,0.252,0.023,0.015,0.101,1.000
Maine,0.620,0.090,0.158,0.017,0.015,0.100,1.000
Maryland,0.668,0.071,0.158,0.017,0.020,0.066,1.000
Massachusetts,0.653,0.069,0.232,0.012,0.004,0.029,1.000
Michigan,0.622,0.074,0.218,0.022,0.006,0.058,1.000
Minnesota,0.683,0.074,0.166,0.018,0.008,0.052,1.000
Mississippi,0.542,0.082,0.161,0.028,0.021,0.165,1.000
Missouri,0.633,0.091,0.110,0.032,0.014,0.121,1.000
Montana,0.556,0.120,0.179,0.017,0.019,0.110,1.000
Nebraska,0.663,0.107,0.089,0.014,0.022,0.105,1.000
Nevada,0.590,0.071,0.169,0.023,0.018,0.130,1.000
New Hampshire,0.702,0.075,0.111,0.031,0.008,0.072,1.000
New Jersey,0.661,0.075,0.143,0.020,0.005,0.097,1.000
New Mexico,0.468,0.064,0.310,0.025,0.022,0.111,1.000
New York,0.600,0.071,0.244,0.017,0.004,0.064,1.000
North Carolina,0.582,0.097,0.126,0.024,0.029,0.141,1.000
North Dakota,0.683,0.111,0.086,0.014,0.021,0.084,1.000
Ohio,0.627,0.065,0.207,0.026,0.008,0.067,1.000
Oklahoma,0.572,0.081,0.103,0.032,0.023,0.188,1.000
Oregon,0.578,0.094,0.215,0.021,0.008,0.083,1.000
Pennsylvania,0.643,0.081,0.182,0.028,0.006,0.060,1.000
Rhode Island,0.609,0.075,0.239,0.019,0.007,0.050,1.000
South Carolina,0.568,0.091,0.141,0.031,0.023,0.146,1.000
South Dakota,0.642,0.122,0.090,0.017,0.020,0.110,1.000
Tennessee,0.582,0.083,0.174,0.028,0.020,0.114,1.000
Texas,0.569,0.082,0.091,0.017,0.017,0.224,1.000
Utah,0.679,0.112,0.079,0.014,0.011,0.105,1.000
Vermont,0.580,0.074,0.264,0.016,N/A,0.056,1.000
Virginia,0.638,0.092,0.081,0.025,0.052,0.113,1.000
Washington,0.623,0.082,0.178,0.019,0.023,0.075,1.000
West Virginia,0.535,0.056,0.284,0.039,0.014,0.072,1.000
Wisconsin,0.678,0.089,0.151,0.015,0.007,0.060,1.000
Wyoming,0.612,0.090,0.108,0.014,0.025,0.150,1.000
Puerto Rico,0.298,0.106,0.472,0.042,0.005,0.077,1.000
