State,State Code,Year,Mother's Bridged Race,Mother's Bridged Race Code,Mother's Hispanic Origin,Mother's Hispanic Origin Code,Births
Alabama,1,2009,American Indian or Alaska Native,1002-5,Hispanic or Latino,2135-2,13
Alabama,1,2009,American Indian or Alaska Native,1002-5,Not Hispanic or Latino,2186-5,203
Alabama,1,2009,Asian or Pacific Islander,A-PI,Not Hispanic or Latino,2186-5,981
Alabama,1,2009,Black or African American,2054-5,Hispanic or Latino,2135-2,53
Alabama,1,2009,Black or African American,2054-5,Not Hispanic or Latino,2186-5,19230
Alabama,1,2009,Black or African American,2054-5,Unknown or Not Stated,9,11
Alabama,1,2009,White,2106-3,Hispanic or Latino,2135-2,5060
Alabama,1,2009,White,2106-3,Not Hispanic or Latino,2186-5,36902
Alabama,1,2009,White,2106-3,Unknown or Not Stated,9,13
Alaska,2,2009,American Indian or Alaska Native,1002-5,Hispanic or Latino,2135-2,46
Alaska,2,2009,American Indian or Alaska Native,1002-5,Not Hispanic or Latino,2186-5,2904
Alaska,2,2009,American Indian or Alaska Native,1002-5,Unknown or Not Stated,9,10
Alaska,2,2009,Asian or Pacific Islander,A-PI,Hispanic or Latino,2135-2,31
Alaska,2,2009,Asian or Pacific Islander,A-PI,Not Hispanic or Latino,2186-5,900
Alaska,2,2009,Asian or Pacific Islander,A-PI,Unknown or Not Stated,9,19
Alaska,2,2009,Black or African American,2054-5,Hispanic or Latino,2135-2,41
Alaska,2,2009,Black or African American,2054-5,Not Hispanic or Latino,2186-5,408
Alaska,2,2009,Black or African American,2054-5,Unknown or Not Stated,9,30
Alaska,2,2009,White,2106-3,Hispanic or Latino,2135-2,577
Alaska,2,2009,White,2106-3,Not Hispanic or Latino,2186-5,6018
Alaska,2,2009,White,2106-3,Unknown or Not Stated,9,340
Arizona,4,2009,American Indian or Alaska Native,1002-5,Hispanic or Latino,2135-2,222
Arizona,4,2009,American Indian or Alaska Native,1002-5,Not Hispanic or Latino,2186-5,5750
Arizona,4,2009,American Indian or Alaska Native,1002-5,Unknown or Not Stated,9,297
Arizona,4,2009,Asian or Pacific Islander,A-PI,Hispanic or Latino,2135-2,333
Arizona,4,2009,Asian or Pacific Islander,A-PI,Not Hispanic or Latino,2186-5,3041
Arizona,4,2009,Asian or Pacific Islander,A-PI,Unknown or Not Stated,9,68
Arizona,4,2009,Black or African American,2054-5,Hispanic or Latino,2135-2,311
Arizona,4,2009,Black or African American,2054-5,Not Hispanic or Latino,2186-5,4135
Arizona,4,2009,Black or African American,2054-5,Unknown or Not Stated,9,59
Arizona,4,2009,White,2106-3,Hispanic or Latino,2135-2,38302
Arizona,4,2009,White,2106-3,Not Hispanic or Latino,2186-5,40037
Arizona,4,2009,White,2106-3,Unknown or Not Stated,9,243
Arkansas,5,2009,American Indian or Alaska Native,1002-5,Not Hispanic or Latino,2186-5,210
Arkansas,5,2009,Asian or Pacific Islander,A-PI,Not Hispanic or Latino,2186-5,659
Arkansas,5,2009,Black or African American,2054-5,Hispanic or Latino,2135-2,45
Arkansas,5,2009,Black or African American,2054-5,Not Hispanic or Latino,2186-5,7635
Arkansas,5,2009,Black or African American,2054-5,Unknown or Not Stated,9,38
Arkansas,5,2009,White,2106-3,Hispanic or Latino,2135-2,4146
Arkansas,5,2009,White,2106-3,Not Hispanic or Latino,2186-5,26973
Arkansas,5,2009,White,2106-3,Unknown or Not Stated,9,88
California,6,2009,American Indian or Alaska Native,1002-5,Hispanic or Latino,2135-2,1188
California,6,2009,American Indian or Alaska Native,1002-5,Not Hispanic or Latino,2186-5,2412
California,6,2009,American Indian or Alaska Native,1002-5,Unknown or Not Stated,9,69
California,6,2009,Asian or Pacific Islander,A-PI,Hispanic or Latino,2135-2,1169
California,6,2009,Asian or Pacific Islander,A-PI,Not Hispanic or Latino,2186-5,67736
California,6,2009,Asian or Pacific Islander,A-PI,Unknown or Not Stated,9,2572
California,6,2009,Black or African American,2054-5,Hispanic or Latino,2135-2,1806
California,6,2009,Black or African American,2054-5,Not Hispanic or Latino,2186-5,31090
California,6,2009,Black or African American,2054-5,Unknown or Not Stated,9,726
California,6,2009,White,2106-3,Hispanic or Latino,2135-2,266073
California,6,2009,White,2106-3,Not Hispanic or Latino,2186-5,146402
California,6,2009,White,2106-3,Unknown or Not Stated,9,5777
Colorado,8,2009,American Indian or Alaska Native,1002-5,Hispanic or Latino,2135-2,228
Colorado,8,2009,American Indian or Alaska Native,1002-5,Not Hispanic or Latino,2186-5,522
Colorado,8,2009,American Indian or Alaska Native,1002-5,Unknown or Not Stated,9,21
Colorado,8,2009,Asian or Pacific Islander,A-PI,Hispanic or Latino,2135-2,117
Colorado,8,2009,Asian or Pacific Islander,A-PI,Not Hispanic or Latino,2186-5,2381
Colorado,8,2009,Asian or Pacific Islander,A-PI,Unknown or Not Stated,9,46
Colorado,8,2009,Black or African American,2054-5,Hispanic or Latino,2135-2,269
Colorado,8,2009,Black or African American,2054-5,Not Hispanic or Latino,2186-5,3120
Colorado,8,2009,Black or African American,2054-5,Unknown or Not Stated,9,41
Colorado,8,2009,White,2106-3,Hispanic or Latino,2135-2,20067
Colorado,8,2009,White,2106-3,Not Hispanic or Latino,2186-5,41169
Colorado,8,2009,White,2106-3,Unknown or Not Stated,9,647
Connecticut,9,2009,American Indian or Alaska Native,1002-5,Hispanic or Latino,2135-2,15
Connecticut,9,2009,American Indian or Alaska Native,1002-5,Not Hispanic or Latino,2186-5,260
Connecticut,9,2009,Asian or Pacific Islander,A-PI,Hispanic or Latino,2135-2,18
Connecticut,9,2009,Asian or Pacific Islander,A-PI,Not Hispanic or Latino,2186-5,2212
Connecticut,9,2009,Black or African American,2054-5,Hispanic or Latino,2135-2,482
Connecticut,9,2009,Black or African American,2054-5,Not Hispanic or Latino,2186-5,4970
Connecticut,9,2009,White,2106-3,Hispanic or Latino,2135-2,8073
Connecticut,9,2009,White,2106-3,Not Hispanic or Latino,2186-5,22800
Connecticut,9,2009,White,2106-3,Unknown or Not Stated,9,56
Delaware,10,2009,American Indian or Alaska Native,1002-5,Not Hispanic or Latino,2186-5,17
Delaware,10,2009,Asian or Pacific Islander,A-PI,Not Hispanic or Latino,2186-5,515
Delaware,10,2009,Black or African American,2054-5,Hispanic or Latino,2135-2,54
Delaware,10,2009,Black or African American,2054-5,Not Hispanic or Latino,2186-5,3176
Delaware,10,2009,White,2106-3,Hispanic or Latino,2135-2,1587
Delaware,10,2009,White,2106-3,Not Hispanic or Latino,2186-5,6183
Delaware,10,2009,White,2106-3,Unknown or Not Stated,9,15
District of Columbia,11,2009,American Indian or Alaska Native,1002-5,Not Hispanic or Latino,2186-5,19
District of Columbia,11,2009,Asian or Pacific Islander,A-PI,Hispanic or Latino,2135-2,128
District of Columbia,11,2009,Asian or Pacific Islander,A-PI,Not Hispanic or Latino,2186-5,267
District of Columbia,11,2009,Black or African American,2054-5,Hispanic or Latino,2135-2,459
District of Columbia,11,2009,Black or African American,2054-5,Not Hispanic or Latino,2186-5,4718
District of Columbia,11,2009,Black or African American,2054-5,Unknown or Not Stated,9,148
District of Columbia,11,2009,White,2106-3,Hispanic or Latino,2135-2,919
District of Columbia,11,2009,White,2106-3,Not Hispanic or Latino,2186-5,2337
District of Columbia,11,2009,White,2106-3,Unknown or Not Stated,9,28
Florida,12,2009,American Indian or Alaska Native,1002-5,Hispanic or Latino,2135-2,177
Florida,12,2009,American Indian or Alaska Native,1002-5,Not Hispanic or Latino,2186-5,461
Florida,12,2009,Asian or Pacific Islander,A-PI,Hispanic or Latino,2135-2,569
Florida,12,2009,Asian or Pacific Islander,A-PI,Not Hispanic or Latino,2186-5,6791
Florida,12,2009,Asian or Pacific Islander,A-PI,Unknown or Not Stated,9,69
Florida,12,2009,Black or African American,2054-5,Hispanic or Latino,2135-2,5095
Florida,12,2009,Black or African American,2054-5,Not Hispanic or Latino,2186-5,50723
Florida,12,2009,Black or African American,2054-5,Unknown or Not Stated,9,176
Florida,12,2009,White,2106-3,Hispanic or Latino,2135-2,56147
Florida,12,2009,White,2106-3,Not Hispanic or Latino,2186-5,100577
Florida,12,2009,White,2106-3,Unknown or Not Stated,9,603
Georgia,13,2009,American Indian or Alaska Native,1002-5,Hispanic or Latino,2135-2,170
Georgia,13,2009,American Indian or Alaska Native,1002-5,Not Hispanic or Latino,2186-5,181
Georgia,13,2009,Asian or Pacific Islander,A-PI,Hispanic or Latino,2135-2,635
Georgia,13,2009,Asian or Pacific Islander,A-PI,Not Hispanic or Latino,2186-5,5232
Georgia,13,2009,Asian or Pacific Islander,A-PI,Unknown or Not Stated,9,125
Georgia,13,2009,Black or African American,2054-5,Hispanic or Latino,2135-2,3916
