state_name,ahi_rank,ahi_value,ahi_score,ahi_lower_ci,ahi_upper_ci,ai_rank,ai_value,ai_score,ai_lower_ci,ai_upper_ci,apc_rank,apc_value,apc_score,apc_lower_ci,apc_upper_ci,ac_rank,ac_value,ac_score,ac_lower_ci,ac_upper_ci,dhcp_rank,dhcp_value,dhcp_score,dhcp_lower_ci,dhcp_upper_ci,ds_rank,ds_value,ds_score,ds_lower_ci,ds_upper_ci,im_rank,im_value,im_score,im_lower_ci,im_upper_ci,how_rank,how_value,how_score,how_lower_ci,how_upper_ci,mm_rank,mm_value,mm_score,mm_lower_ci,mm_upper_ci,mpinc_rank,mpinc_value,mpinc_score,mpinc_lower_ci,mpinc_upper_ci,mow_rank,mow_value,mow_score,mow_lower_ci,mow_upper_ci,pw_rank,pw_value,pw_score,pw_lower_ci,pw_upper_ci,ow_rank,ow_value,ow_score,ow_lower_ci,ow_upper_ci,ppv_rank,ppv_value,ppv_score,ppv_lower_ci,ppv_upper_ci,pctt_rank,pctt_value,pctt_score,pctt_lower_ci,pctt_upper_ci,pfhs_rank,pfhs_value,pfhs_score,pfhs_lower_ci,pfhs_upper_ci,rpa_rank,rpa_value,rpa_score,rpa_lower_ci,rpa_upper_ci,uw_rank,uw_value,uw_score,uw_lower_ci,uw_upper_ci,wwv_rank,wwv_value,wwv_score,wwv_lower_ci,wwv_upper_ci,wic_rank,wic_value,wic_score,wic_lower_ci,wic_upper_ci
Alaska,8.0,78.5,1.0,81.5,75.5,18.0,69.3,0.38,73.2,65.5,48.0,67.3,-1.64,0.0,0.0,34.0,19.1,0.16,23.1,15.2,43.0,69.0,-0.59,73.5,64.5,6.0,42.3,1.32,51.8,32.7,26.0,6.1,0.16,0.0,0.0,3.0,0.049,0.049,0.0,0.0,1.0,12.4,-1.43,0.0,0.0,13.0,82.0,0.49,0.0,0.0,41.0,133.9,1.31,154.3,113.5,16.0,0.036000000000000004,0.036000000000000004,0.0,0.0,30.0,0.003,0.003,0.0,0.0,0.0,87.6,-1.01,90.0,85.3,23.0,94.2,0.25,0.0,0.0,1.0,63.0,2.0,0.0,0.0,15.0,23.6,-0.47,0.0,0.0,42.0,16.7,0.91,18.9,14.6,49.0,52.7,-2.0,57.7,47.7,42.0,43.9,-1.41,0.0,0.0
Alabama,2.0,81.2,1.63,84.2,78.1,10.0,71.1,0.77,74.9,67.2,37.0,73.9,-0.41,0.0,0.0,45.0,23.3,1.14,25.5,21.0,26.0,73.1,0.01,75.5,70.7,37.0,26.6,-0.53,35.6,17.6,49.0,8.7,2.0,0.0,0.0,44.0,-0.053,-0.053,0.0,0.0,39.0,34.5,0.41,0.0,0.0,46.0,72.0,-1.14,0.0,0.0,47.0,144.9,1.71,153.3,136.5,30.0,-0.003,-0.003,0.0,0.0,42.0,-0.168,-0.168,0.0,0.0,0.0,88.7,-0.6,91.0,86.5,42.0,92.5,-0.61,0.0,0.0,12.0,31.0,0.45,0.0,0.0,46.0,32.400002,1.15,0.0,0.0,39.0,15.0,0.55,15.9,14.0,29.0,65.8,-0.13,68.4,63.3,11.0,53.3,0.19,0.0,0.0
United States,0.0,74.4,0.0,75.1,73.6,0.0,67.5,0.0,68.4,66.6,0.0,76.1,0.0,0.0,0.0,0.0,18.4,0.0,18.8,18.0,0.0,73.0,0.0,73.4,72.5,0.0,31.1,0.0,33.3,28.9,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,98.0,0.0,98.8,97.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.3,0.0,90.7,89.8,0.0,93.7,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,26.2,0.0,0.0,0.0,0.0,12.4,0.0,12.5,12.3,0.0,66.5,0.0,67.0,66.1,0.0,52.2,0.0,0.0,0.0
Arkansas,6.0,78.9,1.08,82.2,75.6,15.0,69.8,0.49,73.7,65.9,42.0,71.9,-0.78,0.0,0.0,47.0,24.6,1.45,28.3,20.8,24.0,73.5,0.07,77.6,69.4,21.0,35.2,0.48,49.4,20.9,47.0,7.9,1.62,0.0,0.0,48.0,-0.07,-0.07,0.0,0.0,46.0,44.5,1.24,0.0,0.0,49.0,67.0,-1.95,0.0,0.0,42.0,139.6,1.52,150.2,129.1,24.0,0.015,0.015,0.0,0.0,48.0,-0.239,-0.239,0.0,0.0,0.0,85.8,-1.68,89.5,82.0,48.0,90.0,-1.87,0.0,0.0,17.0,29.0,0.27,0.0,0.0,38.0,29.799999,0.67,0.0,0.0,26.0,11.6,-0.17,12.7,10.4,42.0,60.1,-1.14,64.4,55.7,39.0,45.7,-1.11,0.0,0.0
Arizona,35.0,72.1,-0.54,75.5,68.7,44.0,62.8,-1.0,66.8,58.8,43.0,71.7,-0.82,0.0,0.0,35.0,19.5,0.26,21.5,17.4,44.0,66.0,-1.04,68.3,63.6,31.0,29.2,-0.23,39.7,18.6,16.0,5.4,-0.4,0.0,0.0,14.0,0.024,0.024,0.0,0.0,29.0,27.3,-0.19,0.0,0.0,26.0,79.0,0.0,0.0,0.0,26.0,102.6,0.17,108.5,96.6,42.0,-0.039,-0.039,0.0,0.0,36.0,-0.122,-0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,91.0,-1.37,0.0,0.0,46.0,15.0,-0.99,0.0,0.0,39.0,30.299999,0.76,0.0,0.0,36.0,13.3,0.19,14.0,12.6,41.0,61.0,-0.98,63.5,58.6,32.0,48.2,-0.68,0.0,0.0
California,9.0,78.1,0.9,81.3,74.9,5.0,73.4,1.26,77.2,69.6,19.0,78.9,0.52,0.0,0.0,19.0,15.5,-0.68,16.9,14.1,38.0,70.8,-0.33,72.6,69.0,47.0,22.2,-1.04,31.2,13.2,4.0,4.3,-1.29,0.0,0.0,2.0,0.063,0.063,0.0,0.0,7.0,17.6,-1.0,0.0,0.0,7.0,85.0,0.98,0.0,0.0,1.0,64.4,-1.23,66.3,62.5,2.0,0.08800000000000001,0.08800000000000001,0.0,0.0,7.0,0.19699999999999998,0.19699999999999998,0.0,0.0,0.0,87.5,-1.04,88.7,86.4,7.0,96.2,1.27,0.0,0.0,3.0,50.0,2.0,0.0,0.0,25.0,26.4,0.04,0.0,0.0,19.0,9.3,-0.65,9.6,9.1,32.0,64.2,-0.41,66.1,62.3,2.0,63.8,1.98,0.0,0.0
Colorado,46.0,68.5,-1.39,72.0,65.1,42.0,63.1,-0.94,67.1,59.0,49.0,66.7,-1.75,0.0,0.0,26.0,17.7,-0.16,19.3,16.1,40.0,69.8,-0.48,71.7,68.0,3.0,49.9,2.0,61.6,38.3,8.0,4.7,-0.97,0.0,0.0,6.0,0.044000000000000004,0.044000000000000004,0.0,0.0,15.0,21.9,-0.64,0.0,0.0,7.0,85.0,0.98,0.0,0.0,14.0,85.9,-0.44,91.8,80.1,10.0,0.052000000000000005,0.052000000000000005,0.0,0.0,8.0,0.185,0.185,0.0,0.0,0.0,91.7,0.52,93.4,89.9,25.0,94.0,0.15,0.0,0.0,7.0,38.0,1.08,0.0,0.0,6.0,18.9,-1.34,0.0,0.0,23.0,10.1,-0.48,10.7,9.4,44.0,59.1,-1.32,61.1,57.1,47.0,41.3,-1.86,0.0,0.0
Connecticut,36.0,71.9,-0.58,75.3,68.6,21.0,69.2,0.36,73.0,65.4,10.0,81.3,0.97,0.0,0.0,8.0,13.6,-1.12,15.3,11.8,11.0,80.6,1.13,82.7,78.5,16.0,36.9,0.68,48.3,25.4,12.0,5.2,-0.57,0.0,0.0,19.0,0.017,0.017,0.0,0.0,8.0,19.0,-0.88,0.0,0.0,10.0,83.0,0.65,0.0,0.0,11.0,84.8,-0.48,92.5,77.1,5.0,0.073,0.073,0.0,0.0,5.0,0.21899999999999997,0.21899999999999997,0.0,0.0,0.0,93.8,1.3,95.2,92.3,3.0,96.7,1.52,0.0,0.0,7.0,38.0,1.08,0.0,0.0,11.0,20.799999,-0.99,0.0,0.0,8.0,7.1,-1.12,7.9,6.4,10.0,70.3,0.68,72.7,68.0,36.0,47.2,-0.85,0.0,0.0
District of Columbia,0.0,82.0,0.0,85.3,78.7,0.0,76.8,0.0,80.9,72.7,0.0,0.0,0.0,0.0,0.0,0.0,12.7,0.0,14.9,10.4,0.0,70.1,0.0,73.0,67.1,0.0,31.6,0.0,39.8,23.5,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.6,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,73.0,0.0,86.0,60.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.9,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,38.5,0.0,0.0,0.0,0.0,3.5,0.0,4.5,2.6,0.0,77.4,0.0,80.1,74.7,0.0,48.2,0.0,0.0,0.0
Delaware,21.0,75.1,0.18,78.5,71.8,11.0,70.9,0.73,74.7,67.1,31.0,76.0,-0.02,0.0,0.0,24.0,17.3,-0.26,20.1,14.5,19.0,76.8,0.56,80.0,73.6,42.0,24.8,-0.74,32.9,16.6,48.0,8.5,2.0,0.0,0.0,23.0,0.011000000000000001,0.011000000000000001,0.0,0.0,4.0,16.9,-1.06,0.0,0.0,2.0,90.0,1.79,0.0,0.0,34.0,115.7,0.65,132.8,98.5,15.0,0.042,0.042,0.0,0.0,26.0,0.036000000000000004,0.036000000000000004,0.0,0.0,0.0,86.9,0.0,89.3,84.4,37.0,93.3,-0.2,0.0,0.0,15.0,30.0,0.36,0.0,0.0,33.0,28.6,0.45,0.0,0.0,14.0,8.1,-0.91,9.8,6.4,4.0,73.0,1.16,76.4,69.6,24.0,50.2,-0.34,0.0,0.0
