year,state,id,state_code,latitude,longitude
2009,Alabama,US.AL,AL,32.318231,-86.902298
2010,Alabama,US.AL,AL,32.318231,-86.902298
2011,Alabama,US.AL,AL,32.318231,-86.902298
2012,Alabama,US.AL,AL,32.318231,-86.902298
2013,Alabama,US.AL,AL,32.318231,-86.902298
2014,Alabama,US.AL,AL,32.318231,-86.902298
2015,Alabama,US.AL,AL,32.318231,-86.902298
2016,Alabama,US.AL,AL,32.318231,-86.902298
2017,Alabama,US.AL,AL,32.318231,-86.902298
2018,Alabama,US.AL,AL,32.318231,-86.902298
2019,Alabama,US.AL,AL,32.318231,-86.902298
2009,Alaska,US.AK,AK,63.588753000000004,-154.493062
2010,Alaska,US.AK,AK,63.588753000000004,-154.493062
2011,Alaska,US.AK,AK,63.588753000000004,-154.493062
2012,Alaska,US.AK,AK,63.588753000000004,-154.493062
2013,Alaska,US.AK,AK,63.588753000000004,-154.493062
2014,Alaska,US.AK,AK,63.588753000000004,-154.493062
2015,Alaska,US.AK,AK,63.588753000000004,-154.493062
2016,Alaska,US.AK,AK,63.588753000000004,-154.493062
2017,Alaska,US.AK,AK,63.588753000000004,-154.493062
2018,Alaska,US.AK,AK,63.588753000000004,-154.493062
2019,Alaska,US.AK,AK,63.588753000000004,-154.493062
2009,Arizona,US.AZ,AZ,34.048928000000004,-111.093731
2010,Arizona,US.AZ,AZ,34.048928000000004,-111.093731
2011,Arizona,US.AZ,AZ,34.048928000000004,-111.093731
2012,Arizona,US.AZ,AZ,34.048928000000004,-111.093731
2013,Arizona,US.AZ,AZ,34.048928000000004,-111.093731
2014,Arizona,US.AZ,AZ,34.048928000000004,-111.093731
2015,Arizona,US.AZ,AZ,34.048928000000004,-111.093731
2016,Arizona,US.AZ,AZ,34.048928000000004,-111.093731
2017,Arizona,US.AZ,AZ,34.048928000000004,-111.093731
2018,Arizona,US.AZ,AZ,34.048928000000004,-111.093731
2019,Arizona,US.AZ,AZ,34.048928000000004,-111.093731
2009,Arkansas,US.AR,AR,35.20105,-91.83183299999999
2010,Arkansas,US.AR,AR,35.20105,-91.83183299999999
2011,Arkansas,US.AR,AR,35.20105,-91.83183299999999
2012,Arkansas,US.AR,AR,35.20105,-91.83183299999999
2013,Arkansas,US.AR,AR,35.20105,-91.83183299999999
2014,Arkansas,US.AR,AR,35.20105,-91.83183299999999
2015,Arkansas,US.AR,AR,35.20105,-91.83183299999999
2016,Arkansas,US.AR,AR,35.20105,-91.83183299999999
2017,Arkansas,US.AR,AR,35.20105,-91.83183299999999
2018,Arkansas,US.AR,AR,35.20105,-91.83183299999999
2019,Arkansas,US.AR,AR,35.20105,-91.83183299999999
2009,California,US.CA,CA,36.778261,-119.41793200000001
2010,California,US.CA,CA,36.778261,-119.41793200000001
2011,California,US.CA,CA,36.778261,-119.41793200000001
2012,California,US.CA,CA,36.778261,-119.41793200000001
2013,California,US.CA,CA,36.778261,-119.41793200000001
2014,California,US.CA,CA,36.778261,-119.41793200000001
2015,California,US.CA,CA,36.778261,-119.41793200000001
2016,California,US.CA,CA,36.778261,-119.41793200000001
2017,California,US.CA,CA,36.778261,-119.41793200000001
2018,California,US.CA,CA,36.778261,-119.41793200000001
2019,California,US.CA,CA,36.778261,-119.41793200000001
2009,Colorado,US.CO,CO,39.550051,-105.782067
2010,Colorado,US.CO,CO,39.550051,-105.782067
2011,Colorado,US.CO,CO,39.550051,-105.782067
2012,Colorado,US.CO,CO,39.550051,-105.782067
2013,Colorado,US.CO,CO,39.550051,-105.782067
2014,Colorado,US.CO,CO,39.550051,-105.782067
2015,Colorado,US.CO,CO,39.550051,-105.782067
2016,Colorado,US.CO,CO,39.550051,-105.782067
2017,Colorado,US.CO,CO,39.550051,-105.782067
2018,Colorado,US.CO,CO,39.550051,-105.782067
2019,Colorado,US.CO,CO,39.550051,-105.782067
2009,Connecticut,US.CT,CT,41.603221000000005,-73.087749
2010,Connecticut,US.CT,CT,41.603221000000005,-73.087749
2011,Connecticut,US.CT,CT,41.603221000000005,-73.087749
2012,Connecticut,US.CT,CT,41.603221000000005,-73.087749
2013,Connecticut,US.CT,CT,41.603221000000005,-73.087749
2014,Connecticut,US.CT,CT,41.603221000000005,-73.087749
2015,Connecticut,US.CT,CT,41.603221000000005,-73.087749
2016,Connecticut,US.CT,CT,41.603221000000005,-73.087749
2017,Connecticut,US.CT,CT,41.603221000000005,-73.087749
2018,Connecticut,US.CT,CT,41.603221000000005,-73.087749
2019,Connecticut,US.CT,CT,41.603221000000005,-73.087749
2009,Delaware,US.DE,DE,38.910832,-75.52767
2010,Delaware,US.DE,DE,38.910832,-75.52767
2011,Delaware,US.DE,DE,38.910832,-75.52767
2012,Delaware,US.DE,DE,38.910832,-75.52767
2013,Delaware,US.DE,DE,38.910832,-75.52767
2014,Delaware,US.DE,DE,38.910832,-75.52767
2015,Delaware,US.DE,DE,38.910832,-75.52767
2016,Delaware,US.DE,DE,38.910832,-75.52767
2017,Delaware,US.DE,DE,38.910832,-75.52767
2018,Delaware,US.DE,DE,38.910832,-75.52767
2019,Delaware,US.DE,DE,38.910832,-75.52767
2009,Florida,US.FL,FL,27.664827000000002,-81.515754
2010,Florida,US.FL,FL,27.664827000000002,-81.515754
2011,Florida,US.FL,FL,27.664827000000002,-81.515754
2012,Florida,US.FL,FL,27.664827000000002,-81.515754
2013,Florida,US.FL,FL,27.664827000000002,-81.515754
2014,Florida,US.FL,FL,27.664827000000002,-81.515754
2015,Florida,US.FL,FL,27.664827000000002,-81.515754
2016,Florida,US.FL,FL,27.664827000000002,-81.515754
2017,Florida,US.FL,FL,27.664827000000002,-81.515754
2018,Florida,US.FL,FL,27.664827000000002,-81.515754
2019,Florida,US.FL,FL,27.664827000000002,-81.515754
2009,Georgia,US.GA,GA,32.157435,-82.907123
2010,Georgia,US.GA,GA,32.157435,-82.907123
2011,Georgia,US.GA,GA,32.157435,-82.907123
2012,Georgia,US.GA,GA,32.157435,-82.907123
2013,Georgia,US.GA,GA,32.157435,-82.907123
2014,Georgia,US.GA,GA,32.157435,-82.907123
2015,Georgia,US.GA,GA,32.157435,-82.907123
2016,Georgia,US.GA,GA,32.157435,-82.907123
2017,Georgia,US.GA,GA,32.157435,-82.907123
2018,Georgia,US.GA,GA,32.157435,-82.907123
2019,Georgia,US.GA,GA,32.157435,-82.907123
2009,Hawaii,US.HI,HI,19.898682,-155.66585700000002
2010,Hawaii,US.HI,HI,19.898682,-155.66585700000002
2011,Hawaii,US.HI,HI,19.898682,-155.66585700000002
2012,Hawaii,US.HI,HI,19.898682,-155.66585700000002
2013,Hawaii,US.HI,HI,19.898682,-155.66585700000002
2014,Hawaii,US.HI,HI,19.898682,-155.66585700000002
2015,Hawaii,US.HI,HI,19.898682,-155.66585700000002
2016,Hawaii,US.HI,HI,19.898682,-155.66585700000002
2017,Hawaii,US.HI,HI,19.898682,-155.66585700000002
2018,Hawaii,US.HI,HI,19.898682,-155.66585700000002
2019,Hawaii,US.HI,HI,19.898682,-155.66585700000002
2009,Idaho,US.ID,ID,44.068202,-114.74204099999999
2010,Idaho,US.ID,ID,44.068202,-114.74204099999999
2011,Idaho,US.ID,ID,44.068202,-114.74204099999999
2012,Idaho,US.ID,ID,44.068202,-114.74204099999999
2013,Idaho,US.ID,ID,44.068202,-114.74204099999999
2014,Idaho,US.ID,ID,44.068202,-114.74204099999999
2015,Idaho,US.ID,ID,44.068202,-114.74204099999999
2016,Idaho,US.ID,ID,44.068202,-114.74204099999999
2017,Idaho,US.ID,ID,44.068202,-114.74204099999999
2018,Idaho,US.ID,ID,44.068202,-114.74204099999999
2019,Idaho,US.ID,ID,44.068202,-114.74204099999999
2009,Illinois,US.IL,IL,40.633125,-89.398528
2010,Illinois,US.IL,IL,40.633125,-89.398528
2011,Illinois,US.IL,IL,40.633125,-89.398528
2012,Illinois,US.IL,IL,40.633125,-89.398528
2013,Illinois,US.IL,IL,40.633125,-89.398528
2014,Illinois,US.IL,IL,40.633125,-89.398528
2015,Illinois,US.IL,IL,40.633125,-89.398528
2016,Illinois,US.IL,IL,40.633125,-89.398528
2017,Illinois,US.IL,IL,40.633125,-89.398528
2018,Illinois,US.IL,IL,40.633125,-89.398528
2019,Illinois,US.IL,IL,40.633125,-89.398528
2009,Indiana,US.IN,IN,40.551217,-85.602364
2010,Indiana,US.IN,IN,40.551217,-85.602364
2011,Indiana,US.IN,IN,40.551217,-85.602364
2012,Indiana,US.IN,IN,40.551217,-85.602364
2013,Indiana,US.IN,IN,40.551217,-85.602364
2014,Indiana,US.IN,IN,40.551217,-85.602364
2015,Indiana,US.IN,IN,40.551217,-85.602364
2016,Indiana,US.IN,IN,40.551217,-85.602364
2017,Indiana,US.IN,IN,40.551217,-85.602364
2018,Indiana,US.IN,IN,40.551217,-85.602364
2019,Indiana,US.IN,IN,40.551217,-85.602364
2009,Iowa,US.IA,IA,41.878003,-93.097702
2010,Iowa,US.IA,IA,41.878003,-93.097702
2011,Iowa,US.IA,IA,41.878003,-93.097702
2012,Iowa,US.IA,IA,41.878003,-93.097702
2013,Iowa,US.IA,IA,41.878003,-93.097702
2014,Iowa,US.IA,IA,41.878003,-93.097702
2015,Iowa,US.IA,IA,41.878003,-93.097702
2016,Iowa,US.IA,IA,41.878003,-93.097702
2017,Iowa,US.IA,IA,41.878003,-93.097702
2018,Iowa,US.IA,IA,41.878003,-93.097702
2019,Iowa,US.IA,IA,41.878003,-93.097702
2009,Kansas,US.KS,KS,39.011902,-98.484246
2010,Kansas,US.KS,KS,39.011902,-98.484246
2011,Kansas,US.KS,KS,39.011902,-98.484246
2012,Kansas,US.KS,KS,39.011902,-98.484246
2013,Kansas,US.KS,KS,39.011902,-98.484246
2014,Kansas,US.KS,KS,39.011902,-98.484246
2015,Kansas,US.KS,KS,39.011902,-98.484246
2016,Kansas,US.KS,KS,39.011902,-98.484246
2017,Kansas,US.KS,KS,39.011902,-98.484246
2018,Kansas,US.KS,KS,39.011902,-98.484246
2019,Kansas,US.KS,KS,39.011902,-98.484246
2009,Kentucky,US.KY,KY,37.839333,-84.27001800000001
