year,mmr_white_hispanic,mmr_white_non_hispanic,mmr_asian_non_hispanic,mmr_black_non_hispanic
2009,24.107499999999998,27.388571428571428,,58.17384615384616
2010,20.0,24.04272727272727,16.82,61.76444444444444
2011,18.49666666666667,26.372352941176462,,72.118
2012,22.103333333333335,28.588000000000005,,72.86615384615384
2013,26.713333333333335,32.7405,13.75,83.24454545454547
2014,20.375,30.829000000000008,13.83,82.58846153846153
2015,19.55666666666667,31.277500000000003,,78.99583333333332
2016,29.912499999999998,32.75208333333334,20.46,81.00933333333334
2017,23.6125,32.21434782608696,,72.5
2018,20.5775,29.984761904761907,19.24,64.24833333333335
2019,30.076,28.58611111111111,18.12,71.57705882352943
2020,22.70934365039376,28.070753602412466,14.813261571543169,68.97878680564985
2021,22.260232375701733,27.714466747364142,14.456974716494841,68.62249995060152
2022,21.811121101009707,27.358179905091063,14.100687874221762,68.26621310832844
2023,21.362009826317685,27.001893050042735,13.744401019173438,67.90992625328012
2024,20.91289855162566,26.64560619499441,13.38811416412511,67.55363939823178
2025,20.463787264158388,26.28931935272133,13.031827321852031,67.1973525559587
2026,20.014675989466365,25.933032497673004,12.675540466803707,66.84106570091038
2027,19.56556471477434,25.57674564262468,12.319253611755379,66.48477884586205
2028,19.116453440082314,25.220458787576355,11.962966756707054,66.12849199081373
2029,18.667342165390288,24.864171945303276,11.606679914433975,65.77220514854065
2030,18.21823087792302,24.507885090254952,11.250393059385651,65.41591829349233
