year,maternal_mortality_ratio,diabetes_val,prem_death_val,phys_inac_val,low_birthweight_val,obesity_val,cardio_death_val,medicare,cancer_death_val,chlamydia_val,child_pov_val,smoking_val,infant_mort_val,income_ineq_val,dentists_val,prem_death_ri_val,dent_vis_val,all_outcomes_val,all_determs_val,health_stat_fem_val,population,employer,non_group,medicaid,military,uninsured,air_pollution_val,choles_check_val,drug_deaths_val,immun_child_val,infect_dis_val,uninsured_val,teen_birth_val,primary_care_val
2020,35.96,11.88,7870.16,26.03,8.42,32.01,260.59,2.40,195.33,526.79,19.12,17.27,5.99,4.87,58.07,1.40,62.92,-0.09,-0.06,47.82,4753694.66,60.46,8.92,18.13,1.66,8.45,7.29,83.91,19.25,65.40,-6.20,7.66,15.78,153.95
2021,36.78,12.14,7889.92,26.09,8.43,32.41,259.22,2.43,195.33,539.22,18.96,17.01,5.90,4.89,58.30,1.39,62.36,-0.10,-0.06,47.39,4726357.38,60.59,9.17,18.78,1.66,7.39,6.90,84.82,20.04,63.53,-8.09,6.81,13.10,158.13
2022,37.60,12.40,7909.67,26.15,8.44,32.81,257.85,2.46,195.34,551.64,18.79,16.75,5.80,4.91,58.53,1.38,61.80,-0.11,-0.06,46.96,4699020.11,60.71,9.41,19.42,1.67,6.34,6.50,85.73,20.84,61.66,-9.99,5.96,10.42,162.31
2023,38.42,12.66,7929.43,26.21,8.44,33.21,256.48,2.49,195.34,564.06,18.63,16.49,5.71,4.93,58.76,1.36,61.23,-0.12,-0.06,46.54,4671682.84,60.84,9.66,20.07,1.68,5.28,6.11,86.64,21.63,59.79,-11.88,5.12,7.75,166.49
2024,39.24,12.93,7949.18,26.27,8.45,33.61,255.11,2.52,195.35,576.48,18.47,16.23,5.61,4.95,58.99,1.35,60.67,-0.13,-0.06,46.11,4644345.56,60.97,9.91,20.71,1.68,4.23,5.71,87.55,22.42,57.92,-13.77,4.27,5.07,170.67
2025,40.06,13.19,7968.94,26.33,8.46,34.01,253.74,2.55,195.35,588.90,18.31,15.97,5.52,4.97,59.22,1.33,60.11,-0.14,-0.06,45.68,4617008.29,61.10,10.15,21.36,1.69,3.17,5.32,88.46,23.22,56.05,-15.67,3.43,2.39,174.85
2026,40.88,13.45,7988.69,26.39,8.47,34.41,252.37,2.58,195.36,601.33,18.15,15.71,5.42,4.99,59.46,1.32,59.55,-0.15,-0.06,45.25,4589671.01,61.22,10.40,22.00,1.69,2.12,4.92,89.37,24.01,54.18,-17.56,2.58,-0.29,179.03
2027,41.70,13.71,8008.45,26.45,8.47,34.81,251.00,2.61,195.37,613.75,17.98,15.45,5.33,5.01,59.69,1.31,58.99,-0.16,-0.06,44.82,4562333.74,61.35,10.65,22.65,1.70,1.07,4.53,90.28,24.81,52.31,-19.46,1.74,-2.97,183.21
2028,42.52,13.98,8028.20,26.51,8.48,35.20,249.63,2.64,195.37,626.17,17.82,15.19,5.23,5.02,59.92,1.29,58.43,-0.17,-0.06,44.40,4534996.46,61.48,10.90,23.29,1.71,0.01,4.14,91.19,25.60,50.45,-21.35,0.89,-5.65,187.39
2029,43.34,14.24,8047.96,26.57,8.49,35.60,248.26,2.67,195.38,638.59,17.66,14.93,5.14,5.04,60.15,1.28,57.86,-0.18,-0.07,43.97,4507659.19,61.61,11.14,23.94,1.71,-1.04,3.74,92.10,26.39,48.58,-23.24,0.04,-8.33,191.58
2030,44.16,14.50,8067.72,26.63,8.50,36.00,246.89,2.70,195.38,651.01,17.50,14.67,5.04,5.06,60.38,1.27,57.30,-0.19,-0.07,43.54,4480321.92,61.73,11.39,24.58,1.72,-2.10,3.35,93.01,27.19,46.71,-25.14,-0.80,-11.00,195.76
