year,state,id,state_code,latitude,longitude,deaths,births,maternal_mortality_ratio,population,employer,non_group,medicaid,medicare,military,uninsured,air_pollution_val,cancer_death_val,cardio_death_val,child_pov_val,choles_check_val,dent_vis_val,dentists_val,diabetes_val,drug_deaths_val,health_stat_fem_val,immun_child_val,income_ineq_val,infant_mort_val,infect_dis_val,obesity_val,phys_inac_val,prem_death_val,smoking_val,uninsured_val,all_determs_val,all_outcomes_val,chlamydia_val,prem_death_ri_val,teen_birth_val,primary_care_val
2015,Alabama,US.AL,AL,32.318231,-86.902298,12.0,59657.0,20.11,2505795.0,57.4,8.9,13.6,4.0,2.2,13.9,9.5,211.6,330.1,25.2,77.6,60.0,44.0,12.9,12.0,43.5,76.9,5.27,8.8,0.763,33.5,27.6,10095.0,21.1,12.9,-0.371,-0.325,611.0,1.2,34.3,103.5
2016,Alabama,US.AL,AL,32.318231,-86.902298,35.0,59151.0,59.17,2507714.0,58.7,9.1,13.8,3.8,1.9,12.7,9.1,211.1,332.9,22.3,79.9,60.0,43.8,13.5,13.1,43.8,70.6,5.24,8.6,0.777,35.6,31.9,10097.0,21.4,11.1,-0.4270000000000001,-0.366,600.2,1.1,32.0,116.4
2017,Alabama,US.AL,AL,32.318231,-86.902298,41.0,58941.0,69.56,2514911.0,58.0,8.6,13.6,4.2,2.3,13.3,8.9,210.6,339.6,24.3,79.9,62.3,43.7,14.6,14.3,43.8,77.3,5.31,8.5,0.363,35.7,29.4,10321.0,21.5,9.6,-0.4270000000000001,-0.335,543.6,1.2,30.1,119.3
2018,Alabama,US.AL,AL,32.318231,-86.902298,31.0,57761.0,53.67,2523756.0,58.8,7.5,13.7,3.6,2.5,13.9,8.4,210.5,342.6,24.5,87.5,62.3,40.4,14.1,15.4,43.5,71.2,5.25,8.7,0.547,36.3,32.0,10720.0,20.9,9.3,-0.483,-0.35600000000000004,553.6,1.1,28.4,122.8
2019,Alabama,US.AL,AL,32.318231,-86.902298,35.0,58615.0,59.71,2533668.0,58.8,7.8,13.9,3.8,2.4,13.3,8.1,210.8,347.0,23.8,87.5,60.8,41.8,14.5,16.1,41.1,71.2,5.31,8.2,0.55,36.2,30.7,10435.0,19.2,9.7,-0.4370000000000001,-0.383,614.1,1.2,27.0,122.8
2010,Arizona,US.AZ,AZ,34.048928000000004,-111.093731,17.0,87477.0,19.43,3216194.0,52.9,6.5,17.1,1.6,1.8,20.1,10.0,166.7,218.3,31.3,74.0,68.3,52.7,8.4,14.9,52.5,89.13,4.49,6.6,14.6,25.9,19.0,7492.0,16.1,19.5,-0.086,0.077,273.5,1.7,61.2,91.7
2011,Arizona,US.AZ,AZ,34.048928000000004,-111.093731,15.0,85543.0,17.54,3258634.0,52.0,6.7,17.3,2.0,1.8,20.2,9.3,170.9,210.3,27.3,74.0,70.1,53.6,9.0,15.4,53.1,88.68,4.44,6.2,9.7,24.7,22.0,7086.0,13.5,19.0,0.016,0.035,394.2,1.8,56.2,92.6
2012,Arizona,US.AZ,AZ,34.048928000000004,-111.093731,25.0,86441.0,28.92,3294772.0,52.6,7.1,16.0,1.7,1.9,20.7,9.4,171.1,218.3,24.7,73.8,70.1,53.9,9.6,16.0,49.8,88.38,4.64,6.0,10.8,25.1,24.2,7107.0,19.3,18.2,0.006,0.1,358.0,1.9,41.9,95.7
2013,Arizona,US.AZ,AZ,34.048928000000004,-111.093731,23.0,85600.0,26.87,3331505.0,52.7,7.2,15.1,1.8,1.8,21.3,9.6,169.6,215.0,26.2,73.7,61.6,53.5,10.6,17.1,50.5,67.5,4.58,5.9,0.051,26.0,22.5,7135.0,17.1,17.7,0.002,0.018000000000000002,358.0,1.9,38.5,96.0
2014,Arizona,US.AZ,AZ,34.048928000000004,-111.093731,24.0,86887.0,27.62,3387637.0,52.9,8.3,18.3,2.3,1.9,16.2,9.9,170.2,216.1,27.2,72.6,61.6,53.6,10.7,17.7,51.0,65.1,4.65,5.9,-0.1,26.8,25.2,7124.0,16.3,17.3,-0.008,-0.03,469.6,1.9,37.4,98.4
2015,Arizona,US.AZ,AZ,34.048928000000004,-111.093731,20.0,85351.0,23.43,3436575.0,53.4,9.4,20.6,2.0,1.8,12.8,9.7,169.6,216.6,28.5,72.6,59.0,54.5,10.0,18.1,50.5,66.1,4.71,5.6,0.373,28.9,21.2,7164.0,16.5,15.4,-0.141,0.07200000000000001,466.4,1.9,33.1,99.7
2016,Arizona,US.AZ,AZ,34.048928000000004,-111.093731,25.0,84520.0,29.58,3488176.0,53.9,8.9,22.0,1.9,1.7,11.6,9.3,170.0,213.7,25.5,76.9,59.0,53.9,10.1,18.6,51.0,72.3,4.59,5.7,-0.01,28.4,24.7,7148.0,14.0,12.2,-0.062,0.042,488.9,1.9,29.9,123.3
2017,Arizona,US.AZ,AZ,34.048928000000004,-111.093731,24.0,81872.0,29.31,3527969.0,55.9,7.8,20.8,1.8,1.8,12.0,9.7,169.6,214.4,23.1,76.9,61.3,53.9,10.8,19.0,51.3,69.9,4.63,5.8,0.103,29.0,23.1,7246.0,14.7,10.4,-0.157,0.047,481.1,1.9,26.3,126.0
2018,Arizona,US.AZ,AZ,34.048928000000004,-111.093731,24.0,80723.0,29.73,3606307.0,55.5,7.4,20.0,2.0,1.8,13.4,9.7,168.4,217.4,23.6,85.2,61.3,54.1,10.4,19.5,48.3,66.5,4.54,5.4,-0.19,29.5,25.1,7502.0,15.6,10.1,-0.168,0.063,511.5,2.0,23.4,126.1
2019,Arizona,US.AZ,AZ,34.048928000000004,-111.093731,32.0,79375.0,40.31,3661420.0,56.8,6.9,18.8,1.9,1.7,13.8,9.7,168.5,223.8,20.1,85.2,62.3,54.4,10.8,20.8,48.1,66.5,4.46,5.6,-0.1,29.5,22.1,7467.0,14.0,10.4,-0.187,0.039,564.4,2.0,21.9,125.8
2009,Arkansas,US.AR,AR,35.20105,-91.831833,20.0,39808.0,50.24,1475013.0,54.1,5.8,11.8,3.6,1.5,23.1,11.8,213.1,327.4,20.8,70.3,63.5,38.6,9.5,10.4,48.1,78.0,4.69,8.1,13.4,29.5,29.7,9928.0,22.3,17.0,-0.264,-0.14,351.1,1.4,62.3,98.5
2010,Arkansas,US.AR,AR,35.20105,-91.831833,13.0,38540.0,33.73,1484281.0,52.2,5.8,11.7,4.1,1.9,24.4,11.4,212.4,320.6,25.7,74.1,63.5,38.8,10.1,11.4,48.7,83.65,4.73,7.5,12.7,31.5,29.8,9786.0,21.5,18.5,-0.459,-0.132,495.1,1.4,61.7,98.6
2011,Arkansas,US.AR,AR,35.20105,-91.831833,10.0,38715.0,25.83,1495200.0,53.2,5.6,12.0,3.4,1.6,24.1,10.9,216.4,316.5,21.8,74.1,61.1,39.4,9.6,12.1,47.4,89.65,4.65,7.5,18.8,30.9,29.8,10017.0,22.9,18.9,-0.473,-0.15,496.8,1.3,61.8,99.5
2012,Arkansas,US.AR,AR,35.20105,-91.831833,18.0,38347.0,46.94,1500641.0,53.9,5.7,11.3,3.9,1.8,23.5,10.8,216.4,319.4,25.4,70.9,61.1,39.3,11.2,12.6,41.2,91.0,4.99,7.5,19.3,30.9,30.9,10098.0,27.0,18.0,-0.586,-0.28300000000000003,529.0,1.3,52.5,98.0
2013,Arkansas,US.AR,AR,35.20105,-91.831833,15.0,37832.0,39.65,1505782.0,52.8,6.3,12.3,3.7,2.0,22.9,10.7,214.2,311.7,29.6,70.9,54.9,39.5,11.3,12.4,42.3,66.4,4.88,7.4,0.521,34.5,31.4,9620.0,25.0,17.9,-0.627,-0.266,550.5,1.3,50.7,99.9
2014,Arkansas,US.AR,AR,35.20105,-91.831833,23.0,38511.0,59.72,1509053.0,52.8,8.4,17.7,3.9,1.6,15.5,10.3,214.9,313.7,23.8,72.3,54.9,40.2,11.5,12.6,43.4,57.1,4.82,7.2,0.9,34.6,34.4,9656.0,25.9,16.2,-0.655,-0.279,565.4,1.2,45.7,102.6
2015,Arkansas,US.AR,AR,35.20105,-91.831833,16.0,38886.0,41.15,1515348.0,53.2,9.8,20.3,3.4,1.3,11.9,9.7,216.9,313.4,29.7,72.3,57.1,40.9,12.7,12.1,43.1,66.0,4.76,7.3,0.883,35.9,30.7,9586.0,24.7,13.9,-0.584,-0.304,523.8,1.2,43.5,105.3
2016,Arkansas,US.AR,AR,35.20105,-91.831833,17.0,38274.0,44.42,1520375.0,53.2,9.3,22.0,3.5,1.6,10.3,7.5,218.1,317.3,20.8,76.8,57.1,40.9,12.6,12.1,43.4,66.6,4.79,7.6,0.573,34.5,34.2,9762.0,24.9,10.7,-0.506,-0.328,527.3,1.2,39.5,114.7
2017,Arkansas,US.AR,AR,35.20105,-91.831833,14.0,37520.0,37.31,1528215.0,53.9,8.7,22.0,3.7,1.8,9.9,7.2,219.5,323.0,21.4,76.8,57.6,41.2,13.5,12.3,39.3,67.8,4.85,7.5,0.413,35.7,32.5,9972.0,23.6,8.7,-0.449,-0.32299999999999995,545.0,1.2,37.9,115.4
2018,Arkansas,US.AR,AR,35.20105,-91.831833,23.0,37018.0,62.13,1533682.0,53.4,8.1,23.7,3.6,1.2,10.0,7.1,218.6,330.2,23.8,82.8,57.6,41.7,12.2,13.2,41.6,69.4,4.72,7.8,0.56,35.0,32.5,10099.0,22.3,7.9,-0.361,-0.312,562.0,1.2,34.7,120.9
